,CountryName,Year,Value,CountryCode,hash
148.1971,Netherlands,1971,68.95156,148,fb61c8
149.1971,Norway,1971,83.11319,149,988455
151.1971,New Zealand,1971,76.80635,151,a2238e
152.1971,Oman,1971,0,152,c14c36
153.1971,Pakistan,1971,6.44494,153,82d220
154.1971,Panama,1971,42.03607,154,1e36b3
155.1971,Peru,1971,39.43215,155,36c572
162.1971,Portugal,1971,32.48511,162,a49519
163.1971,Paraguay,1971,16.43348,163,71a452
164.1971,Pacific island small states,1971,50.23566055,164,ebe9cb
166.1971,Qatar,1971,27.15998,166,83ef3e
167.1971,Romania,1971,68.91467,167,d6b897
169.1971,Rwanda,1971,2.4829,169,7266a1
170.1971,South Asia,1971,13.42341042,170,edef51
173.1971,Senegal,1971,5.40925,173,d8973b
175.1971,Solomon Islands,1971,5.5206,175,ecae78
176.1971,Sierra Leone,1971,5.47762,176,50df2d
177.1971,El Salvador,1971,17.79234,177,259a6e
179.1971,Somalia,1971,1.23075,179,4dfdf1
182.1971,Sao Tome and Principe,1971,11.35321,182,6ddcb9
183.1971,Suriname,1971,40.59057,183,b17fc6
186.1971,Sweden,1971,84.92864,186,72ddd2
187.1971,Swaziland,1971,15.60526,187,c985df
189.1971,Seychelles,1971,36.51192,189,3d2d7b
190.1971,Syrian Arab Republic,1971,18.1631,190,48a9fd
192.1971,Chad,1971,0.28245,192,6c6b1b
193.1971,Togo,1971,3.10593,193,30949d
194.1971,Thailand,1971,15.03784,194,a2b7c1
198.1971,Tonga,1971,86.74307,198,e8a123
199.1971,Trinidad and Tobago,1971,45.75625,199,4d206a
200.1971,Tunisia,1971,12.90571,200,edf404
201.1971,Turkey,1971,14.65027,201,d7153e
203.1971,Tanzania,1971,1.5729,203,7e380b
206.1971,Uruguay,1971,64.52705,206,66b989
209.1971,St. Vincent and the Grenadines,1971,19.60391,209,68d122
210.1971,"Venezuela, RB",1971,36.03913,210,6cba5d
213.1971,Vanuatu,1971,5.61255,213,d16ad2
218.1971,"Congo, Dem. Rep.",1971,4.10427,218,7c927d
