CountryName,Year,Value,hash
Japan,1974,22.343,fcf29f
New Zealand,1968,22.46,a2238e
Australia,1973,22.508,ceafb5
Korea,2005,22.542,4e8bd0
Switzerland,1975,22.543,77dcd8
Korea,2003,22.708,4e8bd0
Chile,2007,22.779,349507
Greece,1989,22.859,4902a4
United States,2009,22.966,768685
Italy,1973,23.12,ad79ef
Turkey,1999,23.145,d7153e
Portugal,1981,23.149,a49519
United States,2010,23.175,768685
Spain,1981,23.202,20a8df
New Zealand,1965,23.214,a2238e
Switzerland,1980,23.318,77dcd8
Japan,1978,23.376,fcf29f
Korea,2010,23.391,4e8bd0
Switzerland,1981,23.392,77dcd8
Spain,1982,23.485,20a8df
United States,1965,23.5,768685
New Zealand,1969,23.506,a2238e
Greece,1982,23.511,4902a4
Switzerland,1979,23.534,77dcd8
Switzerland,1991,23.541,77dcd8
Korea,2006,23.559,4e8bd0
United States,2011,23.561,768685
Greece,1988,23.585,4902a4
Switzerland,1990,23.623,77dcd8
Switzerland,1982,23.7,77dcd8
Portugal,1982,23.739,a49519
Korea,2009,23.76,4e8bd0
United States,1966,23.767,768685
Japan,1979,23.793,fcf29f
Switzerland,1976,23.823,77dcd8
United States,1971,23.869,768685
Switzerland,1985,23.875,77dcd8
New Zealand,1966,23.904,a2238e
Greece,1983,23.908,4902a4
Switzerland,1992,23.941,77dcd8
Switzerland,1978,23.944,77dcd8
United States,1976,23.968,768685
United States,1983,23.986,768685
Portugal,1987,23.988,a49519
Switzerland,1977,24.008,77dcd8
United States,2012,24.05,768685
New Zealand,1971,24.069,a2238e
Turkey,2004,24.072,d7153e
Turkey,2007,24.082,d7153e
United States,1984,24.092,768685
Portugal,1985,24.122,a49519
Switzerland,1989,24.13,77dcd8
Korea,2011,24.155,4e8bd0
Turkey,2000,24.159,d7153e
Turkey,2008,24.223,d7153e
Italy,1974,24.228,ad79ef
Switzerland,1983,24.24,77dcd8
Turkey,2005,24.258,d7153e
United States,1968,24.288,768685
Korea,2013,24.298,4e8bd0
Luxembourg,1971,24.35,507672
United States,2003,24.36,768685
United States,1972,24.414,768685
United States,1973,24.416,768685
Italy,1966,24.453,ad79ef
Greece,1984,24.457,4902a4
Greece,1985,24.467,4902a4
Switzerland,1993,24.471,77dcd8
Ireland,1965,24.512,eb2131
Italy,1975,24.513,ad79ef
Turkey,2006,24.523,d7153e
Australia,1978,24.548,ceafb5
Switzerland,1987,24.572,77dcd8
United States,1986,24.573,768685
United States,2004,24.585,768685
Portugal,1984,24.591,a49519
United States,1975,24.595,768685
Korea,2014,24.607,4e8bd0
United States,1985,24.614,768685
Turkey,2002,24.617,d7153e
Turkey,2009,24.636,d7153e
Korea,2008,24.645,4e8bd0
Australia,1974,24.655,ceafb5
Italy,1965,24.662,ad79ef
Japan,1980,24.754,fcf29f
Korea,2012,24.78,4e8bd0
Korea,2007,24.785,4e8bd0
Italy,1970,24.835,ad79ef
United States,1967,24.844,768685
Switzerland,1986,24.844,77dcd8
Switzerland,1988,24.847,77dcd8
Luxembourg,1972,24.849,507672
Switzerland,1994,24.901,77dcd8
United States,2002,24.902,768685
United States,1978,24.963,768685
Greece,1990,25.098,4902a4
Portugal,1983,25.101,a49519
New Zealand,1970,25.126,a2238e
United States,1974,25.151,768685
Australia,1979,25.166,ceafb5
United States,1979,25.17,768685
Luxembourg,1973,25.197,507672
United States,2008,25.197,768685
Greece,1991,25.199,4902a4
United States,1977,25.215,768685
Canada,1965,25.259,cd6a7b
Italy,1979,25.263,ad79ef
Japan,2003,25.305,fcf29f
Italy,1967,25.349,ad79ef
Spain,1983,25.357,20a8df
Italy,1972,25.372,ad79ef
Australia,1975,25.396,ceafb5
Japan,1981,25.398,fcf29f
United States,1988,25.4,768685
United States,2013,25.406,768685
Italy,1976,25.423,ad79ef
Australia,1977,25.442,ceafb5
Switzerland,1997,25.447,77dcd8
Portugal,1986,25.455,a49519
Italy,1971,25.459,ad79ef
Italy,1969,25.502,ad79ef
Switzerland,1995,25.509,77dcd8
Iceland,1965,25.521,b3c92e
United States,1980,25.526,768685
Australia,2010,25.568,ceafb5
Australia,1976,25.574,ceafb5
United States,1989,25.59,768685
United States,1987,25.611,768685
Portugal,1988,25.627,a49519
United States,1992,25.637,768685
New Zealand,1972,25.648,a2238e
Greece,1986,25.685,4902a4
Spain,1984,25.697,20a8df
United States,1970,25.721,768685
United States,1991,25.752,768685
Japan,2002,25.756,fcf29f
Australia,2009,25.781,ceafb5
Japan,1994,25.795,fcf29f
United States,1993,25.842,768685
Luxembourg,1968,25.854,507672
New Zealand,1967,25.863,a2238e
Japan,1982,25.882,fcf29f
United States,2005,25.897,768685
Italy,1977,25.91,ad79ef
United States,1990,25.929,768685
Turkey,2003,25.934,d7153e
United States,1981,25.94,768685
Japan,1999,25.941,fcf29f
Switzerland,1996,25.969,77dcd8
United States,2014,26.003,768685
Luxembourg,1969,26.012,507672
Greece,1992,26.028,4902a4
Luxembourg,1974,26.04,507672
United States,1982,26.045,768685
Italy,1978,26.063,ad79ef
Japan,2004,26.082,fcf29f
Australia,1992,26.093,ceafb5
Italy,1968,26.095,ad79ef
Luxembourg,1966,26.096,507672
Turkey,2001,26.105,d7153e
Australia,1983,26.111,ceafb5
Switzerland,2007,26.126,77dcd8
Greece,1987,26.139,4902a4
United States,1994,26.173,768685
Turkey,2010,26.199,d7153e
Australia,1980,26.224,ceafb5
Australia,2011,26.256,ceafb5
Portugal,1989,26.283,a49519
New Zealand,1973,26.298,a2238e
Switzerland,1998,26.315,77dcd8
Japan,1983,26.32,fcf29f
Canada,1966,26.336,cd6a7b
Luxembourg,1965,26.35,507672
Switzerland,2006,26.353,77dcd8
Australia,1981,26.395,ceafb5
Japan,1998,26.406,fcf29f
United States,1995,26.407,768685
Japan,1995,26.413,fcf29f
Japan,1996,26.436,fcf29f
Switzerland,1999,26.464,77dcd8
Japan,1984,26.467,fcf29f
Switzerland,2004,26.467,77dcd8
Greece,1993,26.472,4902a4
Ireland,1966,26.477,eb2131
Portugal,1990,26.484,a49519
Switzerland,2010,26.504,77dcd8
Switzerland,2005,26.539,77dcd8
Australia,1993,26.549,ceafb5
United States,1969,26.606,768685
United States,2006,26.627,768685
Australia,1991,26.632,ceafb5
Japan,2000,26.648,fcf29f
Switzerland,2014,26.648,77dcd8
Japan,1992,26.653,fcf29f
Iceland,1970,26.655,b3c92e
United States,2007,26.676,768685
Switzerland,2008,26.689,77dcd8
Japan,1985,26.719,fcf29f
Greece,1994,26.735,4902a4
Luxembourg,1967,26.743,507672
Japan,1997,26.76,fcf29f
Japan,1993,26.776,fcf29f
Spain,1985,26.837,20a8df
Japan,2001,26.841,fcf29f
Switzerland,2003,26.842,77dcd8
Switzerland,2013,26.857,77dcd8
Australia,1982,26.873,ceafb5
United States,1996,26.891,768685
Switzerland,2012,26.898,77dcd8
Switzerland,2001,26.955,77dcd8
Japan,2009,26.955,fcf29f
Ireland,1967,27.009,eb2131
Switzerland,2011,27.018,77dcd8
Australia,2008,27.03,ceafb5
United States,2001,27.116,768685
Switzerland,2009,27.13,77dcd8
Japan,2005,27.296,fcf29f
United States,1997,27.32,768685
Canada,1967,27.333,cd6a7b
Australia,2012,27.344,ceafb5
Ireland,2011,27.377,eb2131
Ireland,1968,27.427,eb2131
Ireland,2002,27.434,eb2131
Ireland,1972,27.437,eb2131
Iceland,1985,27.439,b3c92e
Australia,1994,27.447,ceafb5
Ireland,2010,27.453,eb2131
Australia,2013,27.496,ceafb5
Switzerland,1984,27.506,77dcd8
Portugal,1991,27.527,a49519
Switzerland,2002,27.537,77dcd8
New Zealand,1975,27.549,a2238e
Japan,2010,27.57,fcf29f
Ireland,1979,27.583,eb2131
Ireland,1973,27.603,eb2131
Iceland,1983,27.612,b3c92e
Ireland,1970,27.631,eb2131
Ireland,2009,27.632,eb2131
Turkey,2012,27.638,d7153e
Iceland,1986,27.642,b3c92e
Switzerland,2000,27.643,77dcd8
Greece,1995,27.686,4902a4
Japan,1986,27.688,fcf29f
Australia,1984,27.71,ceafb5
United States,1998,27.72,768685
Australia,1985,27.759,ceafb5
United States,1999,27.8,768685
Turkey,2011,27.83,d7153e
Ireland,2012,27.919,eb2131
Ireland,1978,27.92,eb2131
Ireland,1975,27.924,eb2131
Iceland,1987,27.967,b3c92e
Australia,1989,27.999,ceafb5
Ireland,1974,28.017,eb2131
Portugal,1993,28.026,a49519
Ireland,1969,28.075,eb2131
Australia,1990,28.079,ceafb5
Japan,2006,28.089,fcf29f
Canada,1968,28.115,cd6a7b
Slovak Republic,2010,28.139,36d711
United States,2000,28.16,768685
Japan,1991,28.19,fcf29f
Spain,1986,28.198,20a8df
Australia,1995,28.207,ceafb5
New Zealand,1976,28.248,a2238e
Australia,1988,28.278,ceafb5
Ireland,2003,28.328,eb2131
Slovak Republic,2012,28.45,36d711
Japan,2007,28.506,fcf29f
Japan,2008,28.521,fcf29f
Australia,1986,28.528,ceafb5
Japan,1990,28.538,fcf29f
Ireland,2008,28.573,eb2131
Japan,1987,28.576,fcf29f
Japan,2011,28.612,fcf29f
Australia,1987,28.627,ceafb5
Ireland,1971,28.633,eb2131
Australia,1997,28.635,ceafb5
Italy,1980,28.708,ad79ef
Turkey,2014,28.719,d7153e
Slovak Republic,2011,28.725,36d711
Greece,1997,28.766,4902a4
Ireland,2001,28.785,eb2131
Portugal,1994,28.802,a49519
Iceland,1984,28.819,b3c92e
Iceland,1980,28.833,b3c92e
Australia,1996,28.853,ceafb5
Slovak Republic,2009,28.869,36d711
Australia,2001,28.927,ceafb5
New Zealand,1984,28.971,a2238e
Ireland,2013,29.032,eb2131
Japan,1988,29.04,fcf29f
Slovak Republic,2008,29.098,36d711
Ireland,2004,29.115,eb2131
Denmark,1965,29.125,89da12
New Zealand,1978,29.142,a2238e
Iceland,1975,29.178,b3c92e
Slovak Republic,2007,29.218,36d711
Ireland,2005,29.236,eb2131
Turkey,2013,29.267,d7153e
United Kingdom,1965,29.278,976912
Slovak Republic,2006,29.278,36d711
Japan,1989,29.305,fcf29f
Japan,2012,29.407,fcf29f
Portugal,1995,29.42,a49519
Australia,1998,29.423,ceafb5
New Zealand,1974,29.426,a2238e
Norway,1965,29.445,988455
Portugal,1992,29.452,a49519
New Zealand,1985,29.471,a2238e
Ireland,1977,29.481,eb2131
Australia,2006,29.493,ceafb5
New Zealand,1980,29.633,a2238e
Canada,1979,29.642,cd6a7b
Australia,2007,29.651,ceafb5
Israel,2009,29.656,4c197d
United Kingdom,1973,29.677,976912
Israel,2012,29.682,4c197d
Australia,2002,29.781,ceafb5
New Zealand,1979,29.802,a2238e
Iceland,1994,29.806,b3c92e
Australia,1999,29.822,ceafb5
New Zealand,1983,29.826,a2238e
Italy,1981,29.831,ad79ef
Spain,2009,29.832,20a8df
Canada,1971,29.873,cd6a7b
