CountryName,Year,Value,hash
Pakistan,2009,449,82d220
Senegal,2008,453,d8973b
South Africa,2001,465,35fda1
Iraq,2007,477,1aed9e
Puerto Rico,2013,477,fe23c5
Kazakhstan,2009,480,2f36b6
Mauritius,2012,498,26160d
Iraq,2008,501,1aed9e
Thailand,2001,505,a2b7c1
Mexico,2002,506,41937b
Kazakhstan,2008,506,2f36b6
Kazakhstan,2010,510,2f36b6
Palestine,2010,510,05a15c
Malaysia,2006,511,ff3ea3
Iraq,2009,526,1aed9e
Panama,2007,529,1e36b3
Kazakhstan,2011,531,2f36b6
South Africa,2003,536,35fda1
The former Yugoslav Republic of Macedonia,2011,536,b5c5f8
Gambia,2008,539,7c3997
Iraq,2010,546,1aed9e
"China, Macao Special Administrative Region",2003,553,3d1fee
Iraq,2011,553,1aed9e
Kazakhstan,2007,556,2f36b6
The former Yugoslav Republic of Macedonia,2009,557,b5c5f8
Mexico,2003,560,41937b
Thailand,2005,561,a2b7c1
Gambia,2009,565,7c3997
South Africa,2010,571,35fda1
Turkey,2003,580,d7153e
South Africa,2011,593,35fda1
South Africa,2005,596,35fda1
Turkey,2004,597,d7153e
Mexico,2006,601,41937b
China,1998,602,d2eaf2
Gambia,2011,602,7c3997
South Africa,2009,606,35fda1
South Africa,2008,612,35fda1
The former Yugoslav Republic of Macedonia,2008,616,b5c5f8
Chile,2009,620,349507
Cyprus,1998,621,852add
Mexico,2007,621,41937b
South Africa,2004,623,35fda1
South Africa,2007,631,35fda1
South Africa,2006,632,35fda1
Thailand,2007,642,a2b7c1
China,1996,649,d2eaf2
China,1999,651,d2eaf2
Thailand,2003,654,a2b7c1
Mexico,2008,656,41937b
The former Yugoslav Republic of Macedonia,2007,658,b5c5f8
The former Yugoslav Republic of Macedonia,2006,663,b5c5f8
South Africa,2012,663,35fda1
China,1997,666,d2eaf2
Chile,2007,670,349507
Chile,2010,675,349507
Mexico,2004,694,41937b
The former Yugoslav Republic of Macedonia,2010,695,b5c5f8
The former Yugoslav Republic of Macedonia,2005,702,b5c5f8
Malaysia,2004,706,ff3ea3
The former Yugoslav Republic of Macedonia,2004,710,b5c5f8
Mexico,2009,716,41937b
Cyprus,2001,718,852add
The former Yugoslav Republic of Macedonia,2003,720,b5c5f8
Cyprus,2000,721,852add
Uzbekistan,2011,721,db800e
China,2000,726,d2eaf2
Turkey,2005,726,d7153e
Cyprus,1999,736,852add
The former Yugoslav Republic of Macedonia,2002,748,b5c5f8
Morocco,2007,748,32e087
China,2001,749,d2eaf2
The former Yugoslav Republic of Macedonia,2013,754,b5c5f8
Chile,2008,755,349507
Morocco,2006,756,32e087
Brazil,2000,757,37497a
Chile,2011,759,349507
Brazil,2001,760,37497a
"China, Macao Special Administrative Region",2004,761,3d1fee
Mexico,2005,763,41937b
Brazil,2002,765,37497a
Turkey,2006,792,d7153e
Thailand,2011,794,a2b7c1
The former Yugoslav Republic of Macedonia,2001,806,b5c5f8
China,2002,806,d2eaf2
Morocco,2008,806,32e087
The former Yugoslav Republic of Macedonia,2012,807,b5c5f8
"China, Macao Special Administrative Region",2007,808,3d1fee
Malaysia,2008,819,ff3ea3
Cyprus,2002,839,852add
Chile,2012,841,349507
Montenegro,2013,847,479fb3
China,2003,848,d2eaf2
Brazil,2003,849,37497a
The former Yugoslav Republic of Macedonia,1997,856,b5c5f8
"China, Macao Special Administrative Region",2008,863,3d1fee
"China, Macao Special Administrative Region",2006,871,3d1fee
Morocco,2010,873,32e087
"China, Macao Special Administrative Region",2005,881,3d1fee
The former Yugoslav Republic of Macedonia,2000,888,b5c5f8
China,2004,888,d2eaf2
Egypt,2008,895,1c39ab
Thailand,2009,907,a2b7c1
Turkey,2007,912,d7153e
Georgia,2013,915,9113c6
The former Yugoslav Republic of Macedonia,1999,919,b5c5f8
Cyprus,2003,924,852add
Kazakhstan,2012,950,2f36b6
The former Yugoslav Republic of Macedonia,1998,954,b5c5f8
Turkey,2008,956,d7153e
Brazil,2004,963,37497a
Qatar,2012,969,83ef3e
Egypt,2009,978,1c39ab
Argentina,2002,987,354bf9
Argentina,2001,999,354bf9
Cyprus,2004,1001,852add
Morocco,2011,1002,32e087
Argentina,1997,1004,354bf9
Argentina,1999,1008,354bf9
Argentina,2000,1012,354bf9
Argentina,1998,1017,354bf9
Egypt,2007,1026,1c39ab
Republic of Moldova,2013,1026,d960fa
Argentina,2003,1028,354bf9
Kazakhstan,2013,1028,2f36b6
Montenegro,2011,1030,479fb3
Turkey,2009,1032,d7153e
Brazil,2005,1041,37497a
China,2005,1045,d2eaf2
"China, Macao Special Administrative Region",2009,1045,3d1fee
Malta,2003,1051,1a591a
Egypt,2010,1054,1c39ab
Kenya,2010,1055,a84f56
Republic of Moldova,2010,1057,d960fa
Brazil,2006,1069,37497a
Republic of Moldova,2012,1070,d960fa
Egypt,2011,1071,1c39ab
Republic of Moldova,2011,1077,d960fa
Republic of Moldova,2006,1087,d960fa
Cyprus,2013,1091,852add
Argentina,2004,1096,354bf9
Cyprus,2012,1099,852add
Republic of Moldova,2007,1111,d960fa
Brazil,2007,1112,37497a
Egypt,2012,1113,1c39ab
Cyprus,2008,1115,852add
Republic of Moldova,2009,1117,d960fa
Cyprus,2005,1120,852add
Republic of Moldova,2005,1124,d960fa
Republic of Moldova,2008,1129,d960fa
Turkey,2010,1131,d7153e
China,2006,1145,d2eaf2
Republic of Moldova,2004,1151,d960fa
Egypt,2013,1156,1c39ab
Brazil,2008,1157,37497a
Argentina,2005,1159,354bf9
Cyprus,2009,1161,852add
Cyprus,2011,1162,852add
Palestine,2013,1168,05a15c
Cyprus,2006,1170,852add
Cyprus,2007,1170,852add
Cyprus,2010,1180,852add
Republic of Moldova,2003,1200,d960fa
Malta,2002,1214,1a591a
Argentina,2006,1248,354bf9
Brazil,2009,1248,37497a
Turkey,2011,1262,d7153e
"China, Macao Special Administrative Region",2010,1264,3d1fee
Malaysia,2009,1282,ff3ea3
Romania,2010,1289,d6b897
United Arab Emirates,2011,1305,d115b8
"China, Macao Special Administrative Region",2011,1310,3d1fee
China,2007,1316,d2eaf2
Argentina,2007,1331,354bf9
Brazil,2010,1343,37497a
"China, Hong Kong Special Administrative Region",1998,1375,06b978
Romania,2007,1381,d6b897
Romania,2006,1384,d6b897
Romania,2009,1385,d6b897
Turkey,2012,1404,d7153e
Argentina,2008,1411,354bf9
"China, Macao Special Administrative Region",2012,1423,3d1fee
"China, Hong Kong Special Administrative Region",2000,1445,06b978
Argentina,2009,1463,354bf9
Romania,2008,1465,d6b897
Romania,2011,1479,d6b897
China,2008,1481,d2eaf2
Turkey,2013,1482,d7153e
Romania,2001,1485,d6b897
Romania,2002,1501,d6b897
"China, Hong Kong Special Administrative Region",1999,1513,06b978
Romania,2003,1523,d6b897
Romania,2000,1532,d6b897
Romania,2004,1546,d6b897
Romania,2005,1552,d6b897
Romania,2012,1561,d6b897
Argentina,2010,1595,354bf9
"China, Hong Kong Special Administrative Region",2001,1615,06b978
Portugal,1996,1655,a49519
Argentina,2011,1673,354bf9
Romania,2013,1677,d6b897
"China, Macao Special Administrative Region",2013,1699,3d1fee
Croatia,1998,1701,d7e045
Argentina,2012,1707,354bf9
China,2009,1718,d2eaf2
Serbia,2007,1744,6d31bf
Portugal,1997,1775,a49519
Malaysia,2010,1795,ff3ea3
Latvia,1999,1796,c5f5bb
Malta,2004,1816,1a591a
Latvia,1997,1822,c5f5bb
Latvia,1998,1838,c5f5bb
Greece,1997,1867,4902a4
"China, Hong Kong Special Administrative Region",2002,1880,06b978
Bulgaria,2001,1884,5c7772
Portugal,1998,1904,a49519
China,2010,1904,d2eaf2
Bulgaria,2000,1907,5c7772
Serbia,2008,1907,6d31bf
Serbia,2010,1907,6d31bf
Poland,2009,1909,5ff03b
Bulgaria,2002,1910,5c7772
Poland,2006,1912,5ff03b
Hungary,1996,1914,f14e46
Latvia,1996,1930,c5f5bb
Poland,2008,1936,5ff03b
Serbia,2011,1938,6d31bf
Poland,2007,1956,5ff03b
Serbia,2012,1974,6d31bf
Hungary,1998,1976,f14e46
Romania,1999,1978,d6b897
Bulgaria,2003,1980,5c7772
Croatia,1999,1981,d7e045
Poland,2002,1982,5ff03b
Serbia,2009,1993,6d31bf
Bulgaria,1999,1994,5c7772
Poland,2005,1996,5ff03b
Poland,2003,2004,5ff03b
Poland,2001,2008,5ff03b
Malaysia,2011,2009,ff3ea3
Hungary,1997,2013,f14e46
Bulgaria,2004,2021,5c7772
Seychelles,2005,2028,3d2d7b
Serbia,2013,2030,6d31bf
Portugal,1999,2032,a49519
Poland,2004,2038,5ff03b
Poland,2000,2051,5ff03b
Bulgaria,2005,2063,5c7772
Malta,2005,2078,1a591a
Hungary,1999,2080,f14e46
Croatia,2003,2084,d7e045
Croatia,2005,2117,d7e045
Poland,2010,2122,5ff03b
Latvia,2003,2124,c5f5bb
Portugal,2000,2129,a49519
China,2011,2138,d2eaf2
Poland,1999,2139,5ff03b
Malta,2007,2139,1a591a
Bulgaria,2006,2141,5c7772
Malta,2006,2156,1a591a
Poland,1996,2159,5ff03b
Malaysia,2012,2164,ff3ea3
Poland,1997,2172,5ff03b
Croatia,2006,2178,d7e045
Spain,1997,2179,20a8df
Spain,1996,2188,20a8df
Poland,1998,2192,5ff03b
Czech Republic,1998,2208,1fef42
Poland,2011,2208,5ff03b
Ukraine,2013,2211,c951ec
Malta,2009,2225,1a591a
Portugal,2001,2226,a49519
Bulgaria,2007,2238,5c7772
Bulgaria,2010,2238,5c7772
Hungary,2001,2250,f14e46
Czech Republic,1997,2252,1fef42
Hungary,2004,2256,f14e46
Latvia,2004,2261,c5f5bb
Bulgaria,1997,2271,5c7772
Czech Republic,1996,2276,1fef42
Croatia,2001,2278,d7e045
Latvia,2002,2285,c5f5bb
Bulgaria,2008,2292,5c7772
Bulgaria,2012,2294,5c7772
Latvia,2000,2298,c5f5bb
Hungary,2003,2299,f14e46
Hungary,2000,2302,f14e46
Hungary,2005,2302,f14e46
Bulgaria,2011,2309,5c7772
Malta,2008,2315,1a591a
Croatia,2007,2324,d7e045
Ukraine,2012,2329,c951ec
Hungary,2002,2331,f14e46
Latvia,2001,2335,c5f5bb
Romania,1998,2336,d6b897
Portugal,2002,2340,a49519
Czech Republic,1999,2345,1fef42
Croatia,2000,2348,d7e045
Poland,2012,2350,5ff03b
Bulgaria,1998,2351,5c7772
Czech Republic,2000,2358,1fef42
China,2012,2396,d2eaf2
Romania,1997,2405,d6b897
Spain,1998,2418,20a8df
Greece,1999,2418,4902a4
Croatia,2012,2418,d7e045
Bulgaria,2013,2419,5c7772
Poland,2013,2428,5ff03b
Croatia,2008,2436,d7e045
Ukraine,2011,2439,c951ec
Bulgaria,2009,2444,5c7772
Croatia,2013,2446,d7e045
Portugal,2003,2454,a49519
Portugal,2004,2454,a49519
Portugal,2005,2455,a49519
Latvia,2005,2461,c5f5bb
"China, Hong Kong Special Administrative Region",2003,2462,06b978
Croatia,2011,2469,d7e045
Slovakia,2003,2480,b6c149
Italy,1996,2492,ad79ef
Italy,1999,2499,ad79ef
Croatia,2010,2516,d7e045
Spain,1999,2531,20a8df
Slovakia,2002,2531,b6c149
Croatia,2009,2544,d7e045
Croatia,2004,2545,d7e045
Czech Republic,2002,2546,1fef42
Czech Republic,2001,2548,1fef42
Ukraine,2010,2548,c951ec
Italy,1998,2560,ad79ef
Hungary,2006,2577,f14e46
Hungary,2007,2579,f14e46
Latvia,2009,2591,c5f5bb
Ukraine,2009,2591,c951ec
China,2013,2593,d2eaf2
Italy,2000,2626,ad79ef
Romania,1996,2627,d6b897
Latvia,2011,2632,c5f5bb
Estonia,2000,2652,f0a96d
Slovakia,2004,2661,b6c149
Latvia,2010,2661,c5f5bb
Slovakia,2005,2675,b6c149
Slovakia,2001,2678,b6c149
Latvia,2013,2682,c5f5bb
Italy,2001,2683,ad79ef
Estonia,2001,2691,f0a96d
Malta,2010,2720,1a591a
Ireland,1996,2722,eb2131
Hungary,2008,2726,f14e46
Czech Republic,2003,2738,1fef42
Latvia,2012,2746,c5f5bb
Greece,2001,2751,4902a4
"China, Hong Kong Special Administrative Region",2004,2755,06b978
Slovakia,1999,2758,b6c149
Ukraine,2008,2767,c951ec
Lithuania,2002,2777,74a788
Slovakia,2006,2789,b6c149
Italy,2003,2790,ad79ef
Italy,2004,2811,ad79ef
Czech Republic,2004,2817,1fef42
Republic of Korea,1998,2822,4430b2
Slovakia,2000,2826,b6c149
Lithuania,2003,2833,74a788
Italy,2002,2845,ad79ef
Latvia,2007,2852,c5f5bb
Slovakia,2007,2860,b6c149
Ukraine,2007,2874,c951ec
Slovakia,2008,2886,b6c149
Greece,2003,2888,4902a4
Portugal,2006,2903,a49519
Latvia,2006,2918,c5f5bb
Ireland,1997,2921,eb2131
Ukraine,2006,2930,c951ec
Croatia,2002,2948,d7e045
Slovakia,2009,2953,b6c149
Spain,2000,2960,20a8df
Hungary,2009,2969,f14e46
Estonia,2002,2986,f0a96d
Republic of Korea,2000,2988,4430b2
Italy,2005,2988,ad79ef
Republic of Korea,1999,3003,4430b2
Republic of Korea,1997,3016,4430b2
Republic of Korea,1996,3018,4430b2
Estonia,2003,3018,f0a96d
