Sort Order,CountryCode,Formal Name,CountryName
162,LKA,Democratic Socialist Republic of Sri Lanka,Sri Lanka
163,SDN,Republic of the Sudan,Sudan
164,SUR,Republic of Suriname,Suriname
165,SWZ,Kingdom of Swaziland,Swaziland
166,SWE,Kingdom of Sweden,Sweden
167,CHE,Swiss Confederation,Switzerland
168,SYR,Syrian Arab Republic,Syria
169,TJK,Republic of Tajikistan,Tajikistan
170,TZA,United Republic of Tanzania,Tanzania
171,THA,Kingdom of Thailand,Thailand
172,TLS,Democratic Republic of Timor-Leste,Timor-Leste (East Timor)
173,TGO,Togolese Republic,Togo
174,TON,Kingdom of Tonga,Tonga
175,TTO,Republic of Trinidad and Tobago,Trinidad and Tobago
176,TUN,Tunisian Republic,Tunisia
177,TUR,Republic of Turkey,Turkey
178,TKM,,Turkmenistan
179,TUV,,Tuvalu
180,UGA,Republic of Uganda,Uganda
181,UKR,,Ukraine
182,ARE,United Arab Emirates,United Arab Emirates
183,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom
184,USA,United States of America,United States
185,URY,Oriental Republic of Uruguay,Uruguay
186,UZB,Republic of Uzbekistan,Uzbekistan
187,VUT,Republic of Vanuatu,Vanuatu
188,VAT,State of the Vatican City,Vatican City
189,VEN,Bolivarian Republic of Venezuela,Venezuela
190,VNM,Socialist Republic of Vietnam,Vietnam
191,YEM,Republic of Yemen,Yemen
192,ZMB,Republic of Zambia,Zambia
193,ZWE,Republic of Zimbabwe,Zimbabwe
194,GEO,Republic of Abkhazia,Abkhazia
196,AZE,Nagorno-Karabakh Republic,Nagorno-Karabakh
197,CYP,Turkish Republic of Northern Cyprus,Northern Cyprus
198,MDA,Pridnestrovian Moldavian Republic,Pridnestrovie (Transnistria)
199,SOM,Republic of Somaliland,Somaliland
200,GEO,Republic of South Ossetia,South Ossetia
201,AUS,Territory of Ashmore and Cartier Islands,Ashmore and Cartier Islands
202,CXR,Territory of Christmas Island,Christmas Island
203,CCK,Territory of Cocos (Keeling) Islands,Cocos (Keeling) Islands
204,AUS,Coral Sea Islands Territory,Coral Sea Islands
205,HMD,Territory of Heard Island and McDonald Islands,Heard Island and McDonald Islands
206,NFK,Territory of Norfolk Island,Norfolk Island
207,NCL,,New Caledonia
208,PYF,Overseas Country of French Polynesia,French Polynesia
209,MYT,Departmental Collectivity of Mayotte,Mayotte
210,GLP,Collectivity of Saint Barthelemy,Saint Barthelemy
211,GLP,Collectivity of Saint Martin,Saint Martin
212,SPM,Territorial Collectivity of Saint Pierre and Miquelon,Saint Pierre and Miquelon
213,WLF,Collectivity of the Wallis and Futuna Islands,Wallis and Futuna
214,ATF,Territory of the French Southern and Antarctic Lands,French Southern and Antarctic Lands
215,PYF,,Clipperton Island
216,BVT,,Bouvet Island
217,COK,,Cook Islands
218,NIU,,Niue
219,TKL,,Tokelau
220,GGY,Bailiwick of Guernsey,Guernsey
221,IMN,,Isle of Man
222,JEY,Bailiwick of Jersey,Jersey
223,AIA,,Anguilla
224,BMU,,Bermuda
225,IOT,,British Indian Ocean Territory
226,,,British Sovereign Base Areas
