CountryName,hash
Ethiopia,3d91f7
Somalia,4dfdf1
Afghanistan,c69153
Cambodia,314ccd
Mali,daa6a4
Mauritania,85fa35
Madagascar,f92bcb
Papua New Guinea,fbaa3c
Niger,66870
Mozambique,a40a9b
Guinea-Bissau,b07cb9
Sierra Leone,50df2d
Swaziland,c985df
Lao PDR,ed2615
Chad,6c6b1b
Nigeria,9742d0
Uganda,e92904
Malawi,0ce65b
Kenya,a84f56
Burkina Faso,e71b56
"Congo, Dem. Rep.",7c927d
Angola,a42522
Eritrea,18740a
Equatorial Guinea,80eaf3
Togo,30949d
Zambia,dcf25e
Kiribati,3f57ad
Cameroon,73a7dd
Guinea,b47b54
Timor-Leste,2d79f6
Paraguay,71a452
Mongolia,f54da3
Tanzania,7e380b
"Yemen, Rep.",876440
Sudan,1193ba
Ghana,317dba
Benin,373616
Tajikistan,279c77
Haiti,a4842f
West Bank and Gaza,a0f1b4
Myanmar,928b7c
Rwanda,7266a1
South Sudan,6981f4
Central African Republic,dba867
Turkmenistan,1f8dc1
Senegal,d8973b
Liberia,1ed5dd
Vanuatu,d16ad2
Vietnam,681101
Nepal,0e1d58
China,d2eaf2
Bangladesh,fa6c37
Bolivia,a001af
Sri Lanka,197042
"Congo, Rep.",c0faa9
Burundi,461758
Azerbaijan,213598
Indonesia,35536a
Namibia,bfe79d
El Salvador,259a6e
India,967ce3
Libya,55949d
South Asia,edef51
Bhutan,bb2254
Morocco,3.2E+88
Nicaragua,481264
Belize,42ab0c
Honduras,5aa588
Ecuador,09f199
Romania,d6b897
Sao Tome and Principe,6ddcb9
Peru,36c572
Kyrgyz Republic,1407c0
"Gambia, The",541212
Cote d'Ivoire,58f76a
Guatemala,11760e
Zimbabwe,5922f5
Lesotho,93b12b
Iraq,1aed9e
Djibouti,60a8b0
Oman,c14c36
Guyana,bc88a2
Gabon,a06dcd
Solomon Islands,ecae78
Cabo Verde,07dee4
Mexico,41937b
Tunisia,edf404
South Africa,35fda1
Lebanon,5caa7f
Pacific island small states,ebe9cb
Algeria,bd6acc
Panama,1e36b3
Philippines,806736
Moldova,9791bc
Dominican Republic,8a4bf1
Georgia,9113c6
Syrian Arab Republic,48a9fd
Fiji,bbb7ef
Turkey,d7153e
Pakistan,82d220
Turks and Caicos Islands,611bc1
Lithuania,74a788
Thailand,a2b7c1
Uzbekistan,db800e
St. Vincent and the Grenadines,68d122
Suriname,b17fc6
Colombia,2f7373
Brazil,37497a
"Venezuela, RB",6cba5d
Samoa,f56806
"Micronesia, Fed. Sts.",03e386
Cuba,c484b1
"Korea, Rep.",89088f
Tuvalu,9a2248
Palau,e5e0b6
Comoros,e5bb59
Caribbean small states,d243de
Malaysia,ff3ea3
Chile,349507
Armenia,5f4599
Aruba,f3a826
Trinidad and Tobago,4d206a
Marshall Islands,bb1306
Saudi Arabia,6f49c3
Botswana,180c89
"Iran, Islamic Rep.",e3f25e
Cayman Islands,e9e21c
St. Lucia,b17b65
Costa Rica,1bf429
Kazakhstan,2f36b6
Jamaica,5eedd6
Maldives,213cb2
"Egypt, Arab Rep.",ff11f8
Russian Federation,c29b4d
American Samoa,ca0b36
Puerto Rico,fe23c5
Argentina,354bf9
Northern Mariana Islands,28a117
New Caledonia,b9967e
Poland,5ff03b
Dominica,bc1cd4
Uruguay,66b989
Bahrain,3ae11c
Albania,79b9d2
Seychelles,3d2d7b
Barbados,93409a
Hungary,f14e46
Portugal,a49519
Ukraine,c951ec
Jordan,674027
"Bahamas, The",923c8a
Ireland,eb2131
Grenada,dbf2a2
Bosnia and Herzegovina,62ac59
Montenegro,479fb3
Antigua and Barbuda,530670
Greece,4902a4
Croatia,d7e045
St. Kitts and Nevis,e01fa2
Latvia,c5f5bb
United States,768685
Tonga,e8a123
Qatar,83ef3e
Estonia,f0a96d
Kuwait,93295b
Mauritius,26160d
Serbia,6d31bf
"Macedonia, FYR",a0b9ed
Bulgaria,5c7772
Belarus,027a12
Guam,f8aa3a
Slovenia,d1aa05
United Arab Emirates,d115b8
"Korea, Dem. Rep.",7609ec
Canada,cd6a7b
Czech Republic,1fef42
Malta,1a591a
Slovak Republic,36d711
Spain,20a8df
Andorra,9d3bd1
Australia,ceafb5
Austria,593905
Belgium,5cb4c9
Switzerland,77dcd8
Cyprus,852add
Germany,17d53e
Denmark,89da12
Finland,c909b1
France,e3772a
United Kingdom,976912
Greenland,1ba0cf
Iceland,b3c92e
Israel,4c197d
Italy,ad79ef
Japan,fcf29f
Luxembourg,507672
Monaco,35ab1c
Netherlands,fb61c8
Norway,988455
New Zealand,a2238e
French Polynesia,40f39c
Singapore,20c0b7
Sweden,72ddd2
Virgin Islands (U.S.),b7d5f7
